            17
-80	100.0
-70	95.0
-60	90.3
-50	85.7
-40	81.5
-30	77.4
-20	73.5
-10	69.8
0	66.3
10	63.0
20	59.9
30	56.9
40	54.0
50	51.3
60	48.8
70	46.3
80	44.0
